# Ion Count Rate vs. Detector Bias Voltage
# Corresponds to Figure 3.4
# 
# Purpose: to select an operating bias voltage for the MagneTOF detector.
# Detector gain depends on bias voltage; the standard approach is to find
# a bias 'plateau' where further increases in bias no longer proportionally
# increase detected count rate, minimizing sensitivity to small gain drifts
# between measurement sessions. This scan swept bias from -2000 to -2600V
# at fixed source output and MPANT threshold (7mV), using the 1.12mm
# readout aperture.
# 
# Columns:
#   hv_volts    - Detector bias voltage setting (V, negative polarity)
#   file        - Source .mpa filename
#   realtime_s  - Acquisition real time (s)
#   totalsum    - Total detector counts
#   rate_hz     - Ion count rate (Hz) = totalsum / realtime_s
#   rate_err_hz - Poisson counting uncertainty = sqrt(totalsum) / realtime_s
hv_volts,file,realtime_s,totalsum,rate_hz,rate_err_hz
-2600,HV2600_8.mpa,150.017,1339775.0,8930.821173600325,7.715702227088927
-2580,HV2580_8.mpa,150.05,1316077.0,8770.923025658114,7.645478122773759
-2560,HV2560_8.mpa,150.067,1287360.0,8578.56823951968,7.560748723856611
-2540,HV2540_8.mpa,150.001,1263961.0,8426.350490996727,7.495018041206345
-2520,HV2520_8.mpa,150.05,1239281.0,8259.120293235588,7.419060214749611
-2500,HV2500_8.mpa,150.084,1213584.0,8086.03182217958,7.340075466787108
-2480,HV2480_8.mpa,150.051,1189053.0,7924.325729252055,7.267109638292615
-2460,HV2460_8.mpa,150.05,1163548.0,7754.401866044651,7.18879587818699
-2440,HV2440_8.mpa,150.006,1136992.0,7579.64348092743,7.108370796610212
-2420,HV2420_8.mpa,150.018,1114411.0,7428.515244837286,7.036866693808966
-2400,HV2400_8.mpa,150.044,1085689.0,7235.80416411186,6.944389718314695
-2380,HV2380_8.mpa,150.084,1058977.0,7055.895365262119,6.8566008465555415
-2360,HV2360_8.mpa,150.001,1031532.0,6876.8341544389705,6.770912449187123
-2340,HV2340_8.mpa,150.0,1004917.0,6699.446666666667,6.683036568639871
-2320,HV2320_8.mpa,150.104,980074.0,6529.29968555135,6.595339688481193
-2300,HV2300_8.mpa,150.017,947490.0,6315.88419979069,6.488537832566087
-2280,HV2280_8.mpa,150.026,920859.0,6137.996080679349,6.396317870847998
-2260,HV2260_8.mpa,150.102,894080.0,5956.482924944371,6.29943662505438
-2240,HV2240_8.mpa,150.083,857271.0,5711.979371414484,6.169181734364745
-2220,HV2220_8.mpa,150.1,820359.0,5465.416389073951,6.034221963436849
-2200,HV2200_8.mpa,150.0,774467.0,5163.113333333334,5.866920449056349
-2180,HV2180_8.mpa,150.067,726163.0,4838.925280041582,5.678476825349574
-2160,HV2160_8.mpa,150.084,669817.0,4462.947416113643,5.4531028258277585
-2140,HV2140_8.mpa,150.03,615670.0,4103.645937479171,5.229930128535619
-2120,HV2120_8.mpa,150.127,561207.0,3738.2149779853057,4.9900251391633565
-2100,HV2100_8.mpa,150.067,508066.0,3385.5944344859295,4.749794997307657
-2080,HV2080_8.mpa,150.084,439431.0,2927.900375789558,4.416832703234883
-2060,HV2060_8.mpa,150.065,378059.0,2519.301635957752,4.097324664905239
-2040,HV2040_8.mpa,150.067,317562.0,2116.134793125737,3.7551653387970223
-2020,HV2020_8.mpa,150.135,261131.0,1739.307956172778,3.4036685958779356
-2000,HV2000_8.mpa,150.033,228579.0,1523.5248245386017,3.18662802221992
